"index","Team","Points Scored","Points Allowed","Total Points","Point Differential"
"0","Celtics","105","87","192","18"
"1","76ers","87","105","192","-18"
"2","Warriors","108","100","208","8"
"3","Thunder","100","108","208","-8"
"4","Hornets","112","113","225","-1"
"5","Bucks","113","112","225","1"
"6","Pistons","103","100","203","3"
"7","Nets","100","103","203","-3"
"8","Pacers","111","83","194","28"
"9","Grizzlies","83","111","194","-28"
"10","Magic","104","101","205","3"
"11","Heat","101","104","205","-3"
"12","Knicks","126","107","233","19"
"13","Hawks","107","126","233","-19"
"14","Raptors","116","104","220","12"
"15","Cavaliers","104","116","220","-12"
"16","Rockets","112","131","243","-19"
"17","Pelicans","131","112","243","19"
"18","Spurs","112","108","220","4"
"19","Timberwolves","108","112","220","-4"
"20","Kings","117","123","240","-6"
"21","Jazz","123","117","240","6"
"22","Clippers","98","107","205","-9"
"23","Nuggets","107","98","205","9"
"24","Suns","121","100","221","21"
"25","Mavericks","100","121","221","-21"
"26","76ers","127","108","235","19"
"27","Bulls","108","127","235","-19"
"28","Wizards","112","113","225","-1"
"29","Heat","113","112","225","1"
"30","Trail Blazers","128","119","247","9"
"31","Lakers","119","128","247","-9"
"32","Magic","88","120","208","-32"
"33","Hornets","120","88","208","32"
"34","Nets","107","105","212","2"
"35","Knicks","105","107","212","-2"
"36","Grizzlies","131","117","248","14"
"37","Hawks","117","131","248","-14"
"38","Timberwolves","131","123","254","8"
"39","Cavaliers","123","131","254","-8"
"40","Pelicans","149","129","278","20"
"41","Kings","129","149","278","-20"
"42","Raptors","113","101","214","12"
"43","Celtics","101","113","214","-12"
"44","Bucks","118","101","219","17"
"45","Pacers","101","118","219","-17"
"46","Clippers","108","92","200","16"
"47","Thunder","92","108","200","-16"
"48","Jazz","123","124","247","-1"
"49","Warriors","124","123","247","1"
"50","Pacers","132","112","244","20"
"51","Nets","112","132","244","-20"
"52","Wizards","113","117","230","-4"
"53","Raptors","117","113","230","4"
"54","Knicks","101","103","204","-2"
"55","Celtics","103","101","204","2"
"56","76ers","116","115","231","1"
"57","Magic","115","116","231","-1"
"58","Heat","112","113","225","-1"
"59","Hornets","113","112","225","1"
"60","Bulls","116","118","234","-2"
"61","Pistons","118","116","234","2"
"62","Mavericks","140","136","276","4"
"63","Timberwolves","136","140","276","-4"
"64","Nuggets","119","91","210","28"
"65","Suns","91","119","210","-28"
"66","Trail Blazers","121","108","229","13"
"67","Spurs","108","121","229","-13"
"68","Lakers","115","124","239","-9"
"69","Rockets","124","115","239","9"
"70","Cavaliers","111","133","244","-22"
"71","Hawks","133","111","244","22"
"72","Thunder","120","131","251","-11"
"73","Kings","131","120","251","11"
"74","Nuggets","100","98","198","2"
"75","Warriors","98","100","198","-2"
"76","Clippers","115","112","227","3"
"77","Rockets","112","115","227","-3"
"78","Celtics","90","93","183","-3"
"79","Magic","93","90","183","3"
"80","Raptors","127","106","233","21"
"81","Hornets","106","127","233","-21"
"82","Bucks","124","113","237","11"
"83","Knicks","113","124","237","-11"
"84","Timberwolves","101","91","192","10"
"85","Pacers","91","101","192","-10"
"86","Mavericks","115","109","224","6"
"87","Bulls","109","115","224","-6"
"88","Jazz","84","92","176","-8"
"89","Grizzlies","92","84","176","8"
"90","Trail Blazers","124","125","249","-1"
"91","Wizards","125","124","249","1"
"92","Warriors","123","103","226","20"
"93","Suns","103","123","226","-20"
"94","Lakers","142","143","285","-1"
"95","Spurs","143","142","285","1"
"96","Pistons","133","132","265","1"
"97","76ers","132","133","265","-1"
"98","Pelicans","116","109","225","7"
"99","Clippers","109","116","225","-7"
"100","Nuggets","126","112","238","14"
"101","Kings","112","126","238","-14"
"102","Hawks","111","104","215","7"
"103","Mavericks","104","111","215","-7"
"104","Cavaliers","86","102","188","-16"
"105","Nets","102","86","188","16"
"106","Heat","110","87","197","23"
"107","Knicks","87","110","197","-23"
"108","Raptors","112","105","217","7"
"109","Timberwolves","105","112","217","-7"
"110","Bulls","112","110","222","2"
"111","Hornets","110","112","222","-2"
"112","Rockets","89","100","189","-11"
"113","Jazz","100","89","189","11"
"114","Spurs","96","116","212","-20"
"115","Pacers","116","96","212","20"
"116","Bucks","123","108","231","15"
"117","76ers","108","123","231","-15"
"118","Suns","113","131","244","-18"
"119","Lakers","131","113","244","18"
"120","Kings","97","92","189","5"
"121","Grizzlies","92","97","189","-5"
"122","Warriors","144","122","266","22"
"123","Wizards","122","144","266","-22"
"124","Pistons","110","103","213","7"
"125","Cavaliers","103","110","213","-7"
