index,Team,Points Scored,Points Allowed,Win/Loss,FG%,3p FG%,Ft%,Rebounds,Offensive Rebounds,Assists,Steals,Blocks,Turnovers:,Fastbreak Points,Points in Paint,Fouls
0,Celtics,105,87,W,43.3,29.7,71.4,64,12,21,7,5,15,6,34,20
1,76ers,87,105,L,39.1,19.2,60.9,57,6,18,8,5,16,16,50,20
2,Warriors,108,100,W,44.2,26.9,94.4,66,17,28,7,7,21,13,58,29
3,Thunder,100,108,L,36.3,27,64.9,59,16,21,12,6,15,10,34,21
4,Rockets,112,131,L,42.4,33.3,75,49,8,21,8,7,12,14,44,22
5,Pelicans,131,112,W,53.1,40,77.3,61,14,36,8,3,12,19,76,25
6,Suns,121,100,W,54.3,55.9,87.5,48,6,35,5,2,12,16,36,22
7,Mavericks,100,121,L,43.2,30.3,70,47,10,28,7,5,9,10,54,16
8,76ers,127,108,W,47.3,33.3,90,64,11,30,10,8,13,20,46,17
9,Bulls,108,127,L,43.6,33.3,75,48,5,28,4,6,12,3,46,23
10,Trail Blazers,128,119,W,44,35.1,93.1,60,14,21,9,10,17,12,56,26
11,Lakers,119,128,L,48.4,23.3,75.9,53,8,23,10,6,15,34,70,26
12,Raptors,113,101,W,46.7,37.1,73.7,57,12,24,3,3,13,14,46,19
13,Celtics,101,113,L,40.4,38.9,70,59,16,29,4,6,16,18,34,27
14,Jazz,123,124,L,44.9,41.3,82.8,48,10,24,11,4,17,18,36,19
15,Warriors,124,123,W,56.3,52.6,88.9,46,8,27,10,6,16,20,46,23
16,Wizards,113,117,L,41.6,33.3,81.3,50,9,20,11,9,11,34,38,27
17,Raptors,117,113,W,44.3,34.5,80.6,64,14,21,5,5,17,4,48,29
18,Lakers,115,124,L,48,25,61.1,52,9,28,8,10,11,22,68,21
19,Rockets,124,115,W,45.8,38.1,66.7,69,13,22,7,4,18,17,52,21
20,Clippers,115,112,W,47.2,20,100,54,12,22,8,7,13,13,64,16
21,Rockets,112,115,L,48.3,42.9,73.3,43,6,28,6,6,12,15,54,23
22,Hornets,112,113,L,44.6,42.1,63.6,45,9,21,8,9,11,11,46,19
